State FIPS Code,County FIPS Code,Postal Code,Name,"Poverty Estimate, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Under Age 18",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Under Age 18",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Ages 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Ages 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Ages 0-4",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Ages 0-4",90% CI Lower Bound,90% CI Upper Bound
1,27,AL,Clay County,"2,521","1,983","3,059",19.1,15,23.2,887,690,"1,084",30,23.3,36.7,620,479,761,28.1,21.7,34.5,34579.00,"31,977","37,181",.,.,.,.,.,.
1,29,AL,Cleburne County,"2,712","2,208","3,216",18.6,15.1,22.1,869,687,"1,051",26,20.6,31.4,619,488,750,24.6,19.4,29.8,38235.00,"34,754","41,716",.,.,.,.,.,.
1,31,AL,Coffee County,"7,650","6,396","8,904",15.1,12.6,17.6,"2,730","2,192","3,268",22.5,18.1,26.9,"1,909","1,522","2,296",21.8,17.4,26.2,45631.00,"42,496","48,766",.,.,.,.,.,.
1,33,AL,Colbert County,"8,714","7,054","10,374",16.2,13.1,19.3,"2,969","2,313","3,625",25.3,19.7,30.9,"2,123","1,653","2,593",24.7,19.2,30.2,39771.00,"36,851","42,691",.,.,.,.,.,.
1,35,AL,Conecuh County,"4,036","3,354","4,718",31.3,26,36.6,"1,330","1,086","1,574",46.3,37.8,54.8,876,701,"1,051",40.3,32.2,48.4,27110.00,"24,653","29,567",.,.,.,.,.,.
1,37,AL,Coosa County,"2,276","1,813","2,739",21,16.7,25.3,650,510,790,31.1,24.4,37.8,456,357,555,28.6,22.4,34.8,32960.00,"29,747","36,173",.,.,.,.,.,.
1,39,AL,Covington County,"7,805","6,607","9,003",20.9,17.7,24.1,"2,859","2,388","3,330",34,28.4,39.6,"2,093","1,749","2,437",34,28.4,39.6,34017.00,"31,347","36,687",.,.,.,.,.,.
1,41,AL,Crenshaw County,"2,794","2,251","3,337",20.1,16.2,24,955,740,"1,170",29,22.5,35.5,659,506,812,27.6,21.2,34,33648.00,"30,639","36,657",.,.,.,.,.,.
1,43,AL,Cullman County,"14,851","12,890","16,812",18.7,16.2,21.2,"4,607","3,810","5,404",25.6,21.2,30,"3,172","2,580","3,764",24.1,19.6,28.6,37938.00,"35,764","40,112",.,.,.,.,.,.
1,45,AL,Dale County,"9,429","7,952","10,906",19.1,16.1,22.1,"3,403","2,773","4,033",28,22.8,33.2,"2,359","1,910","2,808",27.1,21.9,32.3,40125.00,"36,941","43,309",.,.,.,.,.,.
1,47,AL,Dallas County,"15,588","13,803","17,373",36.8,32.6,41,"6,634","5,964","7,304",59.6,53.6,65.6,"4,259","3,713","4,805",53.5,46.6,60.4,27400.00,"25,518","29,282",.,.,.,.,.,.
1,49,AL,DeKalb County,"12,711","10,095","15,327",18.1,14.4,21.8,"5,417","4,241","6,593",30.4,23.8,37,"3,661","2,826","4,496",28.1,21.7,34.5,37644.00,"36,180","39,108",.,.,.,.,.,.
1,51,AL,Elmore County,"10,396","8,618","12,174",13.8,11.4,16.2,"3,767","3,033","4,501",20.5,16.5,24.5,"2,551","2,018","3,084",18.9,14.9,22.9,52324.00,"48,833","55,815",.,.,.,.,.,.
1,53,AL,Escambia County,"9,690","8,336","11,044",27.9,24,31.8,"3,176","2,683","3,669",37.6,31.8,43.4,"2,192","1,829","2,555",35.7,29.8,41.6,33588.00,"30,629","36,547",.,.,.,.,.,.
1,55,AL,Etowah County,"21,508","18,525","24,491",21,18.1,23.9,"7,270","6,080","8,460",31,25.9,36.1,"5,192","4,343","6,041",30,25.1,34.9,35737.00,"33,104","38,370",.,.,.,.,.,.
1,57,AL,Fayette County,"2,942","2,301","3,583",17.6,13.8,21.4,"1,008",775,"1,241",27.5,21.1,33.9,713,545,881,26.2,20,32.4,35720.00,"32,757","38,683",.,.,.,.,.,.
1,59,AL,Franklin County,"6,116","4,908","7,324",19.5,15.7,23.3,"2,437","1,904","2,970",31.4,24.5,38.3,"1,719","1,317","2,121",30.9,23.7,38.1,33173.00,"30,442","35,904",.,.,.,.,.,.
1,61,AL,Geneva County,"6,086","5,166","7,006",22.8,19.3,26.3,"2,098","1,691","2,505",35.8,28.9,42.7,"1,460","1,154","1,766",33.2,26.2,40.2,33347.00,"30,525","36,169",.,.,.,.,.,.
1,63,AL,Greene County,"3,011","2,383","3,639",34.1,27,41.2,"1,014",795,"1,233",48.2,37.8,58.6,695,541,849,45,35,55,24592.00,"22,485","26,699",.,.,.,.,.,.
1,65,AL,Hale County,"4,198","3,487","4,909",27.9,23.2,32.6,"1,419","1,138","1,700",38.7,31.1,46.3,960,765,"1,155",34.8,27.7,41.9,31025.00,"28,104","33,946",.,.,.,.,.,.
1,67,AL,Henry County,"3,275","2,670","3,880",19.2,15.7,22.7,"1,120",889,"1,351",29.2,23.2,35.2,790,625,955,27.8,22,33.6,37108.00,"33,652","40,564",.,.,.,.,.,.
1,69,AL,Houston County,"19,414","17,440","21,388",19,17.1,20.9,"7,114","6,156","8,072",28.9,25,32.8,"4,769","4,060","5,478",26.7,22.7,30.7,40609.00,"38,486","42,732",.,.,.,.,.,.
1,71,AL,Jackson County,"8,610","6,892","10,328",16.4,13.1,19.7,"2,883","2,256","3,510",25,19.6,30.4,"2,076","1,624","2,528",24,18.8,29.2,39618.00,"36,601","42,635",.,.,.,.,.,.
1,73,AL,Jefferson County,"120,153","110,955","129,351",18.6,17.2,20,"42,170","38,386","45,954",27.6,25.1,30.1,"27,819","25,003","30,635",25.8,23.2,28.4,43967.00,"42,078","45,856",.,.,.,.,.,.
1,75,AL,Lamar County,"3,159","2,625","3,693",22.5,18.7,26.3,944,763,"1,125",30.8,24.9,36.7,642,511,773,27.6,22,33.2,33940.00,"30,990","36,890",.,.,.,.,.,.
1,77,AL,Lauderdale County,"18,344","16,138","20,550",20.2,17.8,22.6,"5,690","4,885","6,495",29.3,25.1,33.5,"3,748","3,146","4,350",26.1,21.9,30.3,41536.00,"38,650","44,422",.,.,.,.,.,.
1,79,AL,Lawrence County,"6,697","5,651","7,743",20,16.9,23.1,"2,186","1,809","2,563",28.8,23.8,33.8,"1,433","1,141","1,725",25.4,20.2,30.6,38524.00,"35,088","41,960",.,.,.,.,.,.
1,81,AL,Lee County,"32,855","30,196","35,514",23,21.1,24.9,"6,687","5,457","7,917",21.2,17.3,25.1,"4,551","3,665","5,437",19.6,15.8,23.4,43182.00,"40,232","46,132",.,.,.,.,.,.
1,83,AL,Limestone County,"10,786","8,686","12,886",12.8,10.3,15.3,"3,881","3,025","4,737",18.9,14.7,23.1,"2,547","1,955","3,139",16.9,13,20.8,49616.00,"45,861","53,371",.,.,.,.,.,.
1,85,AL,Lowndes County,"2,862","2,246","3,478",26.6,20.9,32.3,"1,115",868,"1,362",42.8,33.3,52.3,758,582,934,40.9,31.4,50.4,28544.00,"25,875","31,213",.,.,.,.,.,.
1,87,AL,Macon County,"6,209","5,114","7,304",33.1,27.3,38.9,"1,882","1,529","2,235",49,39.8,58.2,"1,247",989,"1,505",44.8,35.5,54.1,27709.00,"25,516","29,902",.,.,.,.,.,.
1,89,AL,Madison County,"42,183","36,831","47,535",12.6,11,14.2,"13,621","11,290","15,952",17.4,14.4,20.4,"9,225","7,456","10,994",16,12.9,19.1,57072.00,"54,679","59,465",.,.,.,.,.,.
1,91,AL,Marengo County,"5,339","4,496","6,182",26.5,22.3,30.7,"1,730","1,402","2,058",36.4,29.5,43.3,"1,149",902,"1,396",32.6,25.6,39.6,31888.00,"29,536","34,240",.,.,.,.,.,.
1,93,AL,Marion County,"6,580","5,429","7,731",22.2,18.3,26.1,"1,982","1,586","2,378",30.8,24.7,36.9,"1,420","1,129","1,711",29.3,23.3,35.3,32237.00,"29,680","34,794",.,.,.,.,.,.
1,95,AL,Marshall County,"20,075","17,479","22,671",21.5,18.7,24.3,"8,359","7,274","9,444",35.6,31,40.2,"5,854","5,061","6,647",34.7,30,39.4,36960.00,"34,612","39,308",.,.,.,.,.,.
1,97,AL,Mobile County,"85,452","78,207","92,697",21,19.2,22.8,"31,097","27,507","34,687",30.9,27.3,34.5,"20,787","18,115","23,459",28.7,25,32.4,39546.00,"37,309","41,783",.,.,.,.,.,.
1,99,AL,Monroe County,"4,726","3,722","5,730",21.1,16.6,25.6,"1,814","1,396","2,232",33.3,25.6,41,"1,206",914,"1,498",29.1,22,36.2,36221.00,"33,721","38,721",.,.,.,.,.,.
1,101,AL,Montgomery County,"48,003","42,886","53,120",21.7,19.4,24,"17,427","14,911","19,943",31.3,26.8,35.8,"11,934","10,099","13,769",30.1,25.5,34.7,41430.00,"39,632","43,228",.,.,.,.,.,.
1,103,AL,Morgan County,"19,176","16,383","21,969",16.2,13.8,18.6,"6,572","5,373","7,771",23.3,19,27.6,"4,524","3,666","5,382",21.9,17.7,26.1,44766.00,"41,286","48,246",.,.,.,.,.,.
1,105,AL,Perry County,"3,449","2,700","4,198",36.6,28.7,44.5,"1,245",970,"1,520",51.2,39.9,62.5,865,668,"1,062",48.3,37.3,59.3,25215.00,"22,744","27,686",.,.,.,.,.,.
1,107,AL,Pickens County,"4,455","3,643","5,267",23.4,19.1,27.7,"1,488","1,179","1,797",34.1,27,41.2,"1,061",842,"1,280",33,26.2,39.8,31433.00,"28,751","34,115",.,.,.,.,.,.
1,109,AL,Pike County,"8,369","7,093","9,645",26.7,22.6,30.8,"2,186","1,733","2,639",33.5,26.6,40.4,"1,505","1,187","1,823",32.9,25.9,39.9,32411.00,"29,425","35,397",.,.,.,.,.,.
1,111,AL,Randolph County,"5,069","4,203","5,935",22.8,18.9,26.7,"1,796","1,474","2,118",34.8,28.6,41,"1,143",895,"1,391",29.3,23,35.6,35024.00,"32,088","37,960",.,.,.,.,.,.
1,113,AL,Russell County,"13,495","11,504","15,486",23.6,20.1,27.1,"5,344","4,454","6,234",36.5,30.4,42.6,"3,605","2,933","4,277",35.8,29.1,42.5,34310.00,"31,744","36,876",.,.,.,.,.,.
1,115,AL,St. Clair County,"13,133","11,268","14,998",15.8,13.6,18,"4,158","3,357","4,959",21,17,25,"2,918","2,329","3,507",20.3,16.2,24.4,50989.00,"48,054","53,924",.,.,.,.,.,.
1,117,AL,Shelby County,"17,276","14,615","19,937",8.7,7.4,10,"6,096","5,060","7,132",12.3,10.2,14.4,"4,224","3,469","4,979",11.4,9.4,13.4,67244.00,"63,500","70,988",.,.,.,.,.,.
1,119,AL,Sumter County,"4,608","3,747","5,469",36.5,29.7,43.3,"1,285","1,007","1,563",45,35.3,54.7,902,707,"1,097",42.1,33,51.2,24059.00,"21,735","26,383",.,.,.,.,.,.
1,121,AL,Talladega County,"18,298","15,939","20,657",23.3,20.3,26.3,"6,385","5,499","7,271",34.8,30,39.6,"4,404","3,735","5,073",32.5,27.6,37.4,34785.00,"32,074","37,496",.,.,.,.,.,.
1,123,AL,Tallapoosa County,"9,551","8,347","10,755",23.5,20.5,26.5,"3,403","2,986","3,820",38,33.3,42.7,"2,359","2,046","2,672",36.2,31.4,41,36463.00,"34,186","38,740",.,.,.,.,.,.
1,125,AL,Tuscaloosa County,"36,795","32,727","40,863",19.5,17.3,21.7,"10,711","9,146","12,276",25.7,21.9,29.5,"7,347","6,257","8,437",24.7,21,28.4,41495.00,"39,492","43,498",.,.,.,.,.,.
1,127,AL,Walker County,"13,676","11,769","15,583",21,18.1,23.9,"4,097","3,390","4,804",28.2,23.3,33.1,"2,710","2,171","3,249",25.2,20.2,30.2,36600.00,"33,674","39,526",.,.,.,.,.,.
1,129,AL,Washington County,"3,564","2,941","4,187",21,17.3,24.7,"1,174",933,"1,415",28.8,22.9,34.7,827,655,999,26.3,20.8,31.8,39173.00,"35,632","42,714",.,.,.,.,.,.
1,131,AL,Wilcox County,"4,126","3,394","4,858",36.5,30,43,"1,475","1,182","1,768",51,40.9,61.1,"1,029",813,"1,245",45.8,36.2,55.4,22126.00,"20,016","24,236",.,.,.,.,.,.
1,133,AL,Winston County,"6,288","5,478","7,098",26.4,23,29.8,"2,038","1,743","2,333",40.3,34.5,46.1,"1,374","1,157","1,591",35.8,30.2,41.4,32663.00,"29,713","35,613",.,.,.,.,.,.
2,0,AK,Alaska,"77,494","74,043","80,945",10.8,10.3,11.3,"28,125","26,359","29,891",15.3,14.3,16.3,"17,409","15,915","18,903",13.5,12.3,14.7,66503.00,"65,013","67,993","9,792","8,887","10,697",18.2,16.5,19.9
2,13,AK,Aleutians East Borough,496,384,608,15.7,12.2,19.2,46,35,57,14.4,10.8,18,28,20,36,12.6,9.1,16.1,51514.00,"46,988","56,040",.,.,.,.,.,.
2,16,AK,Aleutians West Census Area,497,389,605,9.3,7.3,11.3,64,48,80,8.7,6.5,10.9,39,28,50,7.3,5.2,9.4,69192.00,"64,655","73,729",.,.,.,.,.,.
2,20,AK,Anchorage Borough,"26,220","23,202","29,238",9,8,10,"9,446","8,103","10,789",12.8,11,14.6,"5,698","4,727","6,669",11.1,9.2,13,71094.00,"67,836","74,352",.,.,.,.,.,.
2,50,AK,Bethel Census Area,"4,820","4,123","5,517",27.6,23.6,31.6,"2,221","1,806","2,636",35.1,28.5,41.7,"1,409","1,114","1,704",32,25.3,38.7,41722.00,"38,382","45,062",.,.,.,.,.,.
2,60,AK,Bristol Bay Borough,90,70,110,9.3,7.2,11.4,27,20,34,12,8.9,15.1,18,13,23,10.7,7.7,13.7,66178.00,"60,498","71,858",.,.,.,.,.,.
2,68,AK,Denali Borough,115,90,140,6.2,4.9,7.5,25,19,31,6.4,4.8,8,15,11,19,5.3,3.8,6.8,66325.00,"59,926","72,724",.,.,.,.,.,.
2,70,AK,Dillingham Census Area,"1,035",824,"1,246",20.7,16.5,24.9,467,359,575,28.8,22.1,35.5,298,218,378,27.9,20.4,35.4,47498.00,"43,428","51,568",.,.,.,.,.,.
2,90,AK,Fairbanks North Star Borough,"8,847","7,131","10,563",9.2,7.4,11,"3,219","2,456","3,982",13.2,10.1,16.3,"2,076","1,545","2,607",12.5,9.3,15.7,63979.00,"59,625","68,333",.,.,.,.,.,.
2,100,AK,Haines Borough,300,238,362,11.8,9.4,14.2,85,64,106,17.6,13.2,22,54,39,69,15,10.8,19.2,49890.00,"45,139","54,641",.,.,.,.,.,.
2,105,AK,Hoonah-Angoon Census Area,373,290,456,17.5,13.6,21.4,108,81,135,25.8,19.4,32.2,69,50,88,23,16.7,29.3,40371.00,"36,594","44,148",.,.,.,.,.,.
2,110,AK,Juneau Borough,"2,517","2,031","3,003",7.9,6.4,9.4,798,633,963,11,8.7,13.3,445,331,559,8.6,6.4,10.8,76967.00,"72,109","81,825",.,.,.,.,.,.
2,122,AK,Kenai Peninsula Borough,"5,986","4,931","7,041",10.8,8.9,12.7,"1,908","1,486","2,330",14.8,11.5,18.1,"1,169",871,"1,467",12.6,9.4,15.8,60431.00,"56,539","64,323",.,.,.,.,.,.
2,130,AK,Ketchikan Gateway Borough,"1,454","1,167","1,741",10.7,8.6,12.8,487,375,599,15.6,12,19.2,294,216,372,13.3,9.8,16.8,61296.00,"56,161","66,431",.,.,.,.,.,.
2,150,AK,Kodiak Island Borough,"1,204",955,"1,453",8.6,6.8,10.4,445,340,550,11.8,9,14.6,269,198,340,10.3,7.6,13,61498.00,"55,791","67,205",.,.,.,.,.,.
2,164,AK,Lake and Peninsula Borough,288,227,349,17.5,13.8,21.2,114,88,140,23.5,18.1,28.9,72,53,91,21.5,15.9,27.1,44657.00,"40,608","48,706",.,.,.,.,.,.
2,170,AK,Matanuska-Susitna Borough,"9,357","7,934","10,780",10.1,8.6,11.6,"3,236","2,571","3,901",12.6,10,15.2,"2,025","1,545","2,505",10.7,8.2,13.2,68109.00,"65,123","71,095",.,.,.,.,.,.
2,180,AK,Nome Census Area,"2,770","2,434","3,106",28.6,25.1,32.1,"1,115",934,"1,296",33.3,27.9,38.7,695,558,832,31.1,25,37.2,47022.00,"43,352","50,692",.,.,.,.,.,.
2,185,AK,North Slope Borough,"1,474","1,192","1,756",15.4,12.5,18.3,419,322,516,17.9,13.7,22.1,260,193,327,16.5,12.3,20.7,69138.00,"62,983","75,293",.,.,.,.,.,.
2,188,AK,Northwest Arctic Borough,"1,714","1,392","2,036",22.1,17.9,26.3,767,591,943,27.3,21,33.6,496,369,623,27.1,20.1,34.1,52945.00,"49,204","56,686",.,.,.,.,.,.
2,195,AK,Petersburg Census Area,416,333,499,10.8,8.6,13,134,104,164,15.6,12,19.2,82,61,103,13.2,9.8,16.6,57728.00,"52,214","63,242",.,.,.,.,.,.
2,198,AK,Prince of Wales-Hyder Census Area,984,774,"1,194",17.2,13.5,20.9,356,270,442,25.2,19.1,31.3,223,162,284,22.8,16.6,29,44721.00,"40,824","48,618",.,.,.,.,.,.
2,220,AK,Sitka Borough,763,593,933,8.6,6.7,10.5,225,170,280,11.2,8.5,13.9,135,98,172,9.7,7.1,12.3,61771.00,"57,037","66,505",.,.,.,.,.,.
2,230,AK,Skagway Municipality,40,31,49,4.2,3.2,5.2,11,8,14,8.3,6.1,10.5,7,5,9,8.1,5.6,10.6,65379.00,"58,871","71,887",.,.,.,.,.,.
2,240,AK,Southeast Fairbanks Census Area,906,706,"1,106",12.8,10,15.6,340,254,426,18.7,14,23.4,217,156,278,16.6,12,21.2,56456.00,"51,089","61,823",.,.,.,.,.,.
2,261,AK,Valdez-Cordova Census Area,913,715,"1,111",9.5,7.4,11.6,266,198,334,11.4,8.5,14.3,171,123,219,10.1,7.3,12.9,65098.00,"60,037","70,159",.,.,.,.,.,.
2,270,AK,Wade Hampton Census Area,"2,251","1,821","2,681",28.9,23.4,34.4,"1,202",916,"1,488",37.2,28.3,46.1,789,575,"1,003",35.7,26,45.4,32860.00,"30,424","35,296",.,.,.,.,.,.
2,275,AK,Wrangell City and Borough,273,209,337,11.5,8.8,14.2,89,67,111,17.3,13,21.6,56,41,71,14.4,10.4,18.4,47373.00,"43,477","51,269",.,.,.,.,.,.
2,282,AK,Yakutat Borough,94,73,115,14.1,10.9,17.3,25,19,31,16.8,12.7,20.9,16,12,20,15.4,11.2,19.6,47565.00,"43,016","52,114",.,.,.,.,.,.
2,290,AK,Yukon-Koyukuk Census Area,"1,298","1,066","1,530",22.6,18.6,26.6,478,369,587,30.7,23.7,37.7,284,205,363,26.7,19.3,34.1,33998.00,"31,302","36,694",.,.,.,.,.,.
4,0,AZ,Arizona,"1,195,931","1,177,400","1,214,462",18.7,18.4,19,"430,378","418,981","441,775",27,26.3,27.7,"291,886","282,134","301,638",25.3,24.5,26.1,47796.00,"47,213","48,379","130,571","124,662","136,480",30.5,29.1,31.9
4,1,AZ,Apache County,"23,972","21,492","26,452",33.2,29.8,36.6,"9,208","8,056","10,360",41.1,36,46.2,"6,263","5,405","7,121",38.2,33,43.4,32886.00,"31,065","34,707",.,.,.,.,.,.
4,3,AZ,Cochise County,"23,361","20,334","26,388",18.8,16.4,21.2,"8,272","6,865","9,679",28.5,23.7,33.3,"5,759","4,743","6,775",28,23.1,32.9,43017.00,"39,932","46,102",.,.,.,.,.,.
4,5,AZ,Coconino County,"31,093","28,064","34,122",24.6,22.2,27,"9,189","7,835","10,543",30.4,25.9,34.9,"5,977","4,979","6,975",27.7,23.1,32.3,45509.00,"42,604","48,414",.,.,.,.,.,.
4,7,AZ,Gila County,"11,088","9,294","12,882",21.3,17.9,24.7,"3,701","3,025","4,377",34.2,28,40.4,"2,395","1,856","2,934",31,24,38,38267.00,"35,783","40,751",.,.,.,.,.,.
4,9,AZ,Graham County,"8,549","7,069","10,029",25.4,21,29.8,"2,898","2,340","3,456",28.4,22.9,33.9,"1,909","1,505","2,313",26.8,21.1,32.5,41080.00,"37,578","44,582",.,.,.,.,.,.
4,11,AZ,Greenlee County,"1,049",831,"1,267",12,9.5,14.5,376,295,457,15.3,12,18.6,248,192,304,13.8,10.7,16.9,53312.00,"48,408","58,216",.,.,.,.,.,.
4,12,AZ,La Paz County,"4,905","3,944","5,866",24.5,19.7,29.3,"1,325","1,056","1,594",37.7,30.1,45.3,909,710,"1,108",35.1,27.4,42.8,35236.00,"32,760","37,712",.,.,.,.,.,.
4,13,AZ,Maricopa County,"675,704","657,559","693,849",17.4,16.9,17.9,"252,110","242,181","262,039",25.3,24.3,26.3,"170,562","163,101","178,023",23.6,22.6,24.6,51442.00,"50,954","51,930",.,.,.,.,.,.
4,15,AZ,Mohave County,"41,750","36,864","46,636",21.1,18.6,23.6,"13,436","11,306","15,566",34.3,28.9,39.7,"9,143","7,487","10,799",31.8,26,37.6,34966.00,"33,151","36,781",.,.,.,.,.,.
4,17,AZ,Navajo County,"31,803","29,153","34,453",30.3,27.8,32.8,"11,634","10,210","13,058",38.4,33.7,43.1,"7,925","6,758","9,092",36,30.7,41.3,34662.00,"32,555","36,769",.,.,.,.,.,.
4,19,AZ,Pima County,"192,483","182,007","202,959",19.9,18.8,21,"63,385","58,295","68,475",29.1,26.8,31.4,"43,053","39,380","46,726",27.3,25,29.6,44745.00,"43,440","46,050",.,.,.,.,.,.
4,21,AZ,Pinal County,"63,509","56,195","70,823",17.7,15.7,19.7,"22,837","19,478","26,196",23.7,20.2,27.2,"15,571","13,074","18,068",22.3,18.7,25.9,50362.00,"48,472","52,252",.,.,.,.,.,.
4,23,AZ,Santa Cruz County,"11,621","9,707","13,535",24.8,20.7,28.9,"5,135","4,184","6,086",37.3,30.4,44.2,"3,668","2,965","4,371",35.9,29,42.8,36660.00,"33,800","39,520",.,.,.,.,.,.
4,25,AZ,Yavapai County,"32,855","27,668","38,042",15.7,13.2,18.2,"9,704","7,780","11,628",25.8,20.7,30.9,"6,452","5,060","7,844",22.9,18,27.8,43397.00,"41,222","45,572",.,.,.,.,.,.
4,27,AZ,Yuma County,"42,191","37,147","47,235",21.9,19.3,24.5,"17,170","14,526","19,814",31.9,27,36.8,"12,052","9,967","14,137",31,25.6,36.4,39072.00,"37,107","41,037",.,.,.,.,.,.
5,0,AR,Arkansas,"560,928","549,034","572,822",19.6,19.2,20,"196,464","190,326","202,602",28.1,27.2,29,"133,507","128,213","138,801",26.4,25.4,27.4,40151.00,"39,666","40,636","59,482","56,503","62,461",31.4,29.8,33
5,1,AR,Arkansas County,"3,420","2,740","4,100",18.4,14.7,22.1,"1,230",968,"1,492",28.6,22.5,34.7,812,628,996,25.9,20,31.8,37907.00,"34,997","40,817",.,.,.,.,.,.
5,3,AR,Ashley County,"4,315","3,446","5,184",20.3,16.2,24.4,"1,639","1,284","1,994",32.3,25.3,39.3,"1,169",916,"1,422",31.9,25,38.8,39276.00,"36,348","42,204",.,.,.,.,.,.
5,5,AR,Baxter County,"7,172","5,978","8,366",17.7,14.8,20.6,"2,075","1,650","2,500",28.9,23,34.8,"1,446","1,141","1,751",27.1,21.4,32.8,35315.00,"32,239","38,391",.,.,.,.,.,.
5,7,AR,Benton County,"31,121","27,918","34,324",13.5,12.1,14.9,"12,000","10,351","13,649",19,16.4,21.6,"8,068","6,863","9,273",17.7,15.1,20.3,52717.00,"50,525","54,909",.,.,.,.,.,.
5,9,AR,Boone County,"7,817","6,825","8,809",21.2,18.5,23.9,"2,404","1,974","2,834",28.7,23.6,33.8,"1,606","1,297","1,915",26,21,31,35848.00,"32,801","38,895",.,.,.,.,.,.
5,11,AR,Bradley County,"2,888","2,338","3,438",25.7,20.8,30.6,992,776,"1,208",37,28.9,45.1,679,524,834,35.8,27.6,44,31940.00,"28,930","34,950",.,.,.,.,.,.
5,13,AR,Calhoun County,983,776,"1,190",19.2,15.2,23.2,256,200,312,26.2,20.5,31.9,174,134,214,23.5,18,29,36216.00,"32,658","39,774",.,.,.,.,.,.
