State FIPS,County FIPS,Postal,Name,Poverty Estimate All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 0-4,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 0-4,90% CI Lower Bound,90% CI Upper Bound
4,25,AZ,Yavapai County,"24,888","21,292","28,484",12.8,11,14.7,"7,470","5,989","8,950",19.3,15.5,23.1,"4,963","3,903","6,023",17.3,13.6,21,"40,382","38,639","42,126",,,,,,
4,27,AZ,Yuma County,"33,509","29,098","37,920",19.1,16.6,21.6,"14,135","11,893","16,376",27.1,22.8,31.4,"9,210","7,624","10,796",25.4,21.1,29.8,"35,739","33,920","37,558",,,,,,
5,0,AR,Arkansas,"461,758","451,804","471,711",17.2,16.8,17.5,"165,059","159,639","170,479",25,24.2,25.8,"108,273","103,719","112,827",22.9,22,23.9,"35,041","34,476","35,606","52,542","49,764","55,320",28.6,27,30.1
5,1,AR,Arkansas County,"3,448","2,796","4,100",17.6,14.2,20.9,"1,218",947,"1,490",26,20.2,31.8,796,605,987,23.6,17.9,29.2,"34,821","31,804","37,839",,,,,,
5,3,AR,Ashley County,"4,791","3,939","5,643",21,17.2,24.7,"1,746","1,387","2,105",30.7,24.4,37,"1,198",930,"1,466",28.5,22.1,34.9,"32,800","30,238","35,361",,,,,,
5,5,AR,Baxter County,"5,643","4,681","6,605",14.3,11.9,16.7,"1,689","1,337","2,040",23.9,18.9,28.8,"1,139",878,"1,400",21.4,16.5,26.3,"31,278","28,795","33,761",,,,,,
5,7,AR,Benton County,"16,681","14,024","19,338",9.1,7.6,10.5,"6,428","5,099","7,757",13.4,10.7,16.2,"4,089","3,167","5,011",12,9.3,14.7,"48,162","45,617","50,707",,,,,,
5,9,AR,Boone County,"5,572","4,551","6,594",15.9,13,18.8,"1,825","1,433","2,216",23.2,18.2,28.2,"1,198",921,"1,475",20.9,16.1,25.8,"33,563","31,084","36,043",,,,,,
5,11,AR,Bradley County,"2,935","2,383","3,487",25.8,20.9,30.6,897,699,"1,095",33.7,26.3,41.2,604,463,745,31.9,24.4,39.3,"27,543","24,997","30,089",,,,,,
5,13,AR,Calhoun County,979,783,"1,174",18,14.4,21.5,294,227,360,24.1,18.6,29.5,201,153,249,22,16.7,27.3,"31,783","28,883","34,683",,,,,,
5,15,AR,Carroll County,"4,313","3,521","5,105",16.2,13.2,19.2,"1,522","1,196","1,849",25.1,19.7,30.5,"1,026",789,"1,263",23.8,18.3,29.3,"30,789","28,239","33,339",,,,,,
5,17,AR,Chicot County,"4,436","3,660","5,211",36.2,29.9,42.5,"1,483","1,180","1,786",46.8,37.3,56.4,"1,047",825,"1,269",45.1,35.6,54.7,"23,546","21,560","25,533",,,,,,
